id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
612971562909480575,Upscale Apt with Private Work From Anywhere Office,423270067,Harry And Susie,,Area 2/MIT,42.34508,-71.08346,Entire home/apt,623,1,13,2022-09-12,2.62,29,345,13,Exempt: This listing is a unit used for furnished institutional or business stays
613006796957451384,Awesome studio in South End with wifi and parking,409684302,Justin And Mandy,,Area 2/MIT,42.34284,-71.0787,Entire home/apt,440,14,0,,,32,352,0,Exempt: This listing is a unit used for furnished institutional or business stays
613019381875296666,Outstanding Upgraded Luxury Apt!,423270067,Harry And Susie,,Area 2/MIT,42.34473,-71.08124,Entire home/apt,826,1,0,,,29,335,0,Exempt: This listing is a unit used for furnished institutional or business stays
613037426702888009,"South End,2 bed, in unit lau,cen air, Northeastern",31340713,Kama,,Area 2/MIT,42.33626,-71.08569,Entire home/apt,200,29,1,2022-08-20,0.88,23,326,1,
613941639077331824,Venn | Harvard Square | Ocean Room,277913848,Venn,,Mid-Cambridge,42.37785,-71.10712,Private room,149,15,1,2022-05-20,0.24,9,327,1,
614026245880932713,Luxury in heart Boston with balcony & amazing view,158837906,Hashouki,,Area 2/MIT,42.34609,-71.06291,Entire home/apt,499,33,2,2022-07-19,0.79,43,337,2,STR-435267
614069215267191873,Cozy 4BR 2BTH Apt in Brookline near BU,2356643,MyBostonTrip,,Cambridgeport,42.34873870958702,-71.1215438773564,Entire home/apt,394,25,0,,,35,31,0,
614069233918874456,Spacious 4BR 2BTH Apt in Brookline near NU,2356643,MyBostonTrip,,Cambridgeport,42.350273435336106,-71.11967915736125,Entire home/apt,394,25,0,,,35,36,0,
614069267728308090,Sunny 4BD 2BTH Apt in Somerville,2356643,MyBostonTrip,,Agassiz,42.38966816907443,-71.09249600667657,Entire home/apt,322,25,0,,,35,276,0,
614408575007836247,Luxurious Apt heart of Boston South end back bay,158837906,Hashouki,,Area 2/MIT,42.3463,-71.06482,Entire home/apt,499,30,0,,,43,365,0,
614491673402329392,The Modica Estates Apartment 4 Room 2,411367498,Candide,,The Port,42.36651,-71.09693,Private room,63,1,13,2022-09-21,4.70,2,98,13,STR-165667
